Number of k-points, CO energy
4,-13.6534285574
5,-13.6534285574
6,-13.6534285574
7,-13.6534285574
8,-13.6534285574
9,-13.6534285574
10,-13.6534285574
11,-13.6534285574
12,-13.6534285574
13,-13.6534285574
14,-13.6534285574
15,-13.6534285574
16,-13.6534285574
17,-13.6534285574
18,-13.6534285574
19,-13.6534285574
20,-13.6534285574
