number of k points, bulk_energy
4,-3.68684096381
5,-3.6784688946
6,-3.72622100432
7,-3.7812188813
8,-3.73762049158
9,-3.70403961794
10,-3.73625698531
11,-3.74225090542
12,-3.73218508934
13,-3.72972586653
14,-3.73151588315
15,-3.7335536997
16,-3.73312351684
17,-3.73606223338
18,-3.73429694575
19,-3.72930752822
20,-3.73410420259
