cutoff_energy, bulk_energy, surface_energy_density
50,-22.6052727811,-1.59641222841
75,-24.189354784,-1.70828205209
100,-24.9462864539,-1.76173749965
150,-25.3657398794,-1.7913598176
200,-25.4036403336,-1.7940363944
250,-25.4159095703,-1.79490286302
300,-25.4235956717,-1.79544566498
350,-25.4266250852,-1.79565960589
400,-25.4280545514,-1.79576055655
450,-25.4291748255,-1.79583967169
500,-25.4299960881,-1.79589767027
600,-25.4313773126,-1.79599521405
