Volume, Enegy DFT, Energy EAM
33.987036,-0.704964,-0.4347697302955682
39.972064,-2.203052,-1.935227559217891
46.621449,-3.083791,-2.7702210609025597
53.970154,-3.541399,-3.187673888914329
62.053148,-3.717225,-3.3456328937349458
70.905396,-3.716135,-3.344133090373342
80.561863,-3.603915,-3.246114039053455
91.057517,-3.428436,-3.0908378011362956
102.427322,-3.218894,-2.9026831616108963
114.706246,-2.996691,-2.6968929873796204
